iter	RMSE
859	0.6076334997
860	0.6074450265
861	0.6072968032
862	0.6069672143
863	0.6066088884
864	0.6064052805
865	0.6062026594
866	0.6059620695
867	0.6056757904
868	0.6055411436
869	0.6053708881
870	0.6053043334
871	0.6050233062
872	0.6047500868
873	0.6045610275
874	0.6044502477
875	0.6040471784
876	0.6037751056
877	0.6035727599
878	0.6033370008
879	0.603165215
880	0.6028034108
881	0.60260685
882	0.6023933315
883	0.6020860768
884	0.6017984916
885	0.6015119893
886	0.6013268291
887	0.6009642799
888	0.6008273402
889	0.6004302547
890	0.6002054571
891	0.5999491774
892	0.5997612009
893	0.599493671
894	0.5993188599
895	0.5990413259
896	0.5987728254
897	0.5985824656
898	0.5983903515
899	0.5981695529
900	0.5979348955
901	0.5977214662
902	0.5975225835
903	0.5973671685
904	0.5969991704
905	0.5967605432
906	0.5964381391
907	0.5963739236
908	0.596193827
909	0.5959603012
910	0.595634081
911	0.5955158977
912	0.5952411643
913	0.5951245577
914	0.5949863061
915	0.5945819003
916	0.5943409867
917	0.5940837262
918	0.5938020727
919	0.5935651819
920	0.5933536353
921	0.5932581152
922	0.5930347956
923	0.5928953698
924	0.5927288602
925	0.5923483864
926	0.5919655628
927	0.5917543705
928	0.5914485357
929	0.5912195503
930	0.5910211083
931	0.5908527204
932	0.590620827
933	0.5902961575
934	0.5900011464
935	0.5898061942
936	0.5895924132
937	0.5894681436
938	0.5891928947
939	0.5889763609
940	0.5887765427
941	0.5886030907
942	0.5883788378
943	0.5882449877
944	0.5880009657
945	0.5877923236
946	0.5876428408
947	0.5873464453
948	0.5871087748
949	0.5870701495
950	0.5869571175
951	0.5867249234
952	0.5864476002
953	0.5862718824
954	0.5860187758
955	0.5857300833
956	0.5854630968
957	0.5852859196
958	0.5851023225
959	0.5847993219
960	0.5846059382
961	0.5844246081
962	0.5840951799
963	0.5838059495
964	0.5837651402
965	0.5835931656
966	0.5834243379
967	0.5831861781
968	0.5829648443
969	0.582771719
970	0.5824237521
971	0.5821329771
972	0.5818603648
973	0.5817721083
974	0.581467405
975	0.5811544182
976	0.5808594463
977	0.5808007852
978	0.5805611561
979	0.5802464143
980	0.5801085639
981	0.579848526
982	0.5796089067
983	0.5794630969
984	0.5791466344
985	0.5789221494
986	0.5787538215
987	0.578609182
988	0.5784425231
989	0.5783255916
990	0.5779228236
991	0.5777626734
992	0.5775253436
993	0.5772845206
994	0.577122422
995	0.5769536743
996	0.5767735994
997	0.576573174
998	0.5763044464
999	0.5761300104
